za_nr,doi,version,year,rgs_land,gkz,entity,level,election_dummy,election_last,east,name,inh_sqkm2,rat,rat_women,rat_cdu_seats,rat_spd_seats,rat_green_seats,rat_fdp_seats,rat_pds_seats,rat_others_seats,rat_group_seats
5990,doi:10.4232/1.13004,1.0.1 (2018-01-24),2016,6,435027,1870,4,1,2011,0,Sinntal,87,31,4,9,12,0,0,0,0,10
5990,doi:10.4232/1.13005,1.0.1 (2018-01-24),2016,6,436001,,4,1,2011,0,Bad Soden am Taunus,,37,12,14,5,5,4,0,4,5
5990,doi:10.4232/1.13006,1.0.1 (2018-01-24),2011,6,436002,1871,4,1,2006,0,Eppstein,556,37,10,15,8,8,2,0,0,4
5990,doi:10.4232/1.13007,1.0.1 (2018-01-24),2016,6,436002,1871,4,1,2011,0,Eppstein,556,37,9,16,7,4,4,0,0,4
5990,doi:10.4232/1.13009,1.0.1 (2018-01-24),2016,6,436004,,4,1,2011,0,Flörsheim am Main,,37,11,11,11,6,3,0,0,6
5990,doi:10.4232/1.13010,1.0.1 (2018-01-24),2016,6,436006,,4,1,2011,0,Hocheim am Main,,31,6,8,6,4,4,2,0,7
5990,doi:10.4232/1.13011,1.0.1 (2018-01-24),2016,6,436007,,4,1,2011,0,Hofheim am Taunus,,45,15,13,9,7,4,3,0,9
5990,doi:10.4232/1.13012,1.0.1 (2018-01-24),2016,6,436008,,4,1,2011,0,Kelkheim (Taunus),,45,16,15,4,0,6,0,0,20
5990,doi:10.4232/1.13013,1.0.1 (2018-01-24),2011,6,436010,1872,4,1,2006,0,Liederbach am Taunus,1376,31,10,13,7,5,2,0,0,4
5990,doi:10.4232/1.13014,1.0.1 (2018-01-24),2016,6,436010,1872,4,1,2011,0,Liederbach am Taunus,1376,31,12,13,6,4,3,0,0,5
5990,doi:10.4232/1.13016,1.0.1 (2018-01-24),2011,6,437001,1873,4,1,2006,0,Bad König,204,27,5,7,9,2,0,0,0,9
5990,doi:10.4232/1.13017,1.0.1 (2018-01-24),2016,6,437001,1873,4,1,2011,0,Bad König,204,27,5,6,10,2,0,0,0,9
5990,doi:10.4232/1.13018,1.0.1 (2018-01-24),2011,6,437007,1874,4,1,2006,0,Frankisch-Crumbach,209,23,5,10,11,0,2,0,0,0
5990,doi:10.4232/1.13019,1.0.1 (2018-01-24),2016,6,437007,1874,4,1,2011,0,Frankisch-Crumbach,209,23,7,10,11,0,2,0,0,0
5990,doi:10.4232/1.13020,1.0.1 (2018-01-24),2011,6,437009,1875,4,1,2006,0,Höchst i. Odw.,330,31,8,6,10,4,0,0,0,11
5990,doi:10.4232/1.13021,1.0.1 (2018-01-24),2016,6,437009,1875,4,1,2011,0,Höchst i. Odw.,330,31,7,7,10,3,1,0,0,10
5990,doi:10.4232/1.13022,1.0.1 (2018-01-24),2016,6,438004,,4,1,2011,0,Hainburg,,37,8,19,8,5,0,0,0,5
5990,doi:10.4232/1.13023,1.0.1 (2018-01-24),2016,6,438006,,4,1,2011,0,Langen,,45,11,13,10,8,3,2,0,9
